"Name","Address","City_State_ZIP","Country","URL","long","lat"
"Tazzina Espresso","716 Frederick St.","Santa Cruz, CA 95062","United States","http://www.pacificespresso.com/",-122.004412,36.980377
"Thanksgiving Coffee Co.","P.O. Box 1918","Fort Bragg, CA 95437","United States","http://www.thanksgivingcoffee.com/",-123.81667,39.4
"The Bean Coffee Company","11680 Goldring Road, Unit C","Arcadia, CA 91006","United States","http://www.thebeancoffeecompany.com/",-118.007943,34.101165
"The Carmel Coffee House and Roasting Company","Ocean Ave.","Carmel, CA 93923","United States","http://www.carmelcoffee.com/",-121.915616,36.555082
"Tom & Dave's Specialty Coffees","3095 Kerner Blvd., Suite A","San Rafael, CA 94901","United States","http://www.tomanddaves.com/",-122.497915,37.955391
"Tony's Coffee & Teas","2033B Division St.","Bellingham, WA 98226","United States","http://www.tonyscoffee.com/",-122.452277,48.782157
"Torrefazione Italia","2401 Utah Avenue South","Seattle, WA 98134","United States","http://www.titalia.com/",-122.335127,47.581894
"Tully's Coffee","3100 Airport Way South","Seattle, WA 98134","United States","http://www.tullys.com/",-122.321328,47.576232
"Ubuntu Coffee Cooperative","5515 Doyle Street Suite","Emeryville, CA 94608","United States","http://www.ubuntucoffeecoop.com/",-122.28684,37.837752
"Uncommon Grounds","2813 Seventh Street","Berkeley, CA 94710","United States","http://www.uncommongrounds.net/",-122.292415,37.85509
"University Café","271 University Ave.","Palo Alto, CA 94301","United States","None",-122.161994,37.445623
"Victrola Coffee Roasters","310 E Pike St.","Seattle, WA 98112","United States","http://www.victrolacoffee.com/",-122.327783,47.614029
"Vigal","1716 Stone Ave, Suite A","San Jose, CA 95125","United States","http://www.vigalcoffee.com/",-121.875903,37.305905
"Weaver's Coffee & Tea","40 Louise St.","San Rafael, CA 94901","United States","http://www.weaverscoffee.com/",-122.507809,37.962728
"Whispers Coffee & Tea","520 N Michigan Ave .","Chicago, IL 60611","United States","http://whisperscoffeeandtea.com/",-87.624317,41.891594
"Wrecking Ball Coffee Roasters","2271 Union St.","San Francisco, CA 94123","United States","http://www.wreckingballcoffee.com/",-122.436408,37.796865
"Yo el Rey Roasting","1217 Washington St.","Calistoga, CA 94515","United States","http://www.yoelreyroasting.com/",-122.579116,38.578569
"Zoka Coffee Roasters & Tea","1220 W. Nickerson St.","Seattle, WA 98119","United States","http://www.zokacoffee.com/",-122.372731,47.65549
"Irving Farm Coffee"," 44 Main St."," Millteron, New York, NY 12546","United States"," http://www.irvingfarm.com/",-73.510084,41.953726
"Ceremony Coffee Roasters"," 90 Russell St."," Annapolis, MD 21401","United States"," http://www.ceremonycoffee.com/",-76.511934,38.976967
"Three Ships Roastery"," 1703 Mediterranean Ave"," Virginia Beach, VA 23451","United States"," http://www.threeshipscoffee.com/",-75.981051,36.84419
"Novel Coffee Roasters"," 13663 Jupiter Road"," Dallas, TX 75218","United States"," http://www.novelcoffeeroasters.com/",-96.683196,32.870343
"Trouble Coffee Co."," 4033 Judah St."," San Francisco, CA 94122","United States"," http://",-122.505129,37.760381
"Sweet Maria's Home Coffee Roasting"," 1115 21st St."," Oakland, CA 94607","United States"," http://www.sweetmarias.com/",-122.283653,37.81419
"Cafe Grumpy"," 193 Meserole Avenue"," Brooklyn, NY 11222","United States"," http://www.cafegrumpy.com/",-73.948495,40.728485
"Brooklyn Roasting Company"," 25 Jay Street"," Brooklyn, NY 11201","United States"," http://www.brooklynroasting.com/",-73.986506,40.703977
"Puerto Rico Importing Co."," 201 Bleeker St."," New York, NY 10012","United States"," http://",-74.00162,40.729352
"Gimme Coffee"," 430 N Cayuga Street"," Ithaca, NY 14850","United States"," http://www.gimmecoffee.com/",-76.499269,42.444596
"Verve Coffee"," 104 Bronson St"," Santa Cruz, CA 95062","United States"," http://vervecoffeeroasters.com/",-122.006622,36.967864
"Melody Coffee"," 1441 Grove St."," Healdsburg, CA 95448","United States"," http://",-122.874914,38.634882
"Mariposa Coffee Roasters"," 1120 Garver St."," Norman, OK 73069","United States"," http://",-97.457615,35.217404
"Velo Coffee Roasters"," 509 E Main St."," Chattanooga, TN 37408","United States"," http://",-85.301096,35.033767
"Ruby Coffees"," 9515 Water Street"," Nelsonville, WI 54458","United States"," http://",-89.552786,44.492498
"Ristretto Roasters","3808 North Williams Ave."," Portland, OR 97227","United States"," http://",-122.666641,45.550222
"Peace Coffee","2801 21st Ave. S., Suite 130"," Minneapolis, MN 55407","United States"," http://",-93.242682,44.951613
"Kean Coffee","2403 Westcliff Dr., Suite 100"," Newport Beach, CA 92660","United States"," http://",-117.905027,33.625886
"Reve Coffee Roasters"," 1321 West Pinhook Road"," Lafayette, LA 70503","United States"," http://",-92.015873,30.200116
"Kickapoo Coffee Roasters"," 1201 N. Main St."," Viroqua, WI 54665","United States"," http://",-90.889035,43.567115
"Rival Brothers Coffee Co."," 2400 Lombard St."," Philadelphia, PA 19146","United States"," http://",-75.180528,39.946549
"Harrar Coffee and Roastery"," 2904 Georgia Ave NW"," Washington, DC 20001","United States"," http://",-77.023048,38.927305
